,Date,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
0,2020-02-24T18:00:00,101,26,127,94,221,221,1,7,229,0.0
1,2020-02-25T18:00:00,113,35,148,162,310,92,1,10,321,0.0
2,2020-02-26T18:00:00,128,36,164,221,385,78,3,12,400,0.0
3,2020-02-27T18:00:00,247,56,303,284,587,249,45,17,649,0.0
4,2020-02-28T18:00:00,344,64,408,412,820,238,46,21,887,0.0
5,2020-02-29T17:00:00,401,105,506,543,1049,240,50,29,1128,0.0
6,2020-03-01T17:00:00,639,140,779,798,1577,566,83,34,1694,0.0
7,2020-03-04T17:00:00,1346,295,1641,1064,2705,587,276,107,3088,0.0
8,2020-03-05T17:00:00,1790,351,2141,1155,3296,769,414,148,3858,0.0
9,2020-03-07T18:00:00,2651,567,3218,1843,5061,1247,589,233,5883,0.0
10,2020-03-08T18:00:00,3557,650,4207,2180,6387,1492,622,366,7375,0.0
11,2020-03-09T18:00:00,4316,733,5049,2936,7985,1797,724,463,9172,0.0
12,2020-03-10T18:00:00,5038,877,5915,2599,8514,977,1004,631,10149,0.0
13,2020-03-11T17:00:00,5838,1028,6866,3724,10590,2313,1045,827,12462,0.0
14,2020-03-12T17:00:00,6650,1153,7803,5036,12839,2651,1258,1016,15113,0.0
15,2020-03-13T17:00:00,7426,1328,8754,6201,14955,2547,1439,1266,17660,0.0
16,2020-03-14T17:00:00,8372,1518,9890,7860,17750,3497,1966,1441,21157,0.0
17,2020-03-15T17:00:00,9663,1672,11335,9268,20603,3590,2335,1809,24747,0.0
18,2020-03-16T17:00:00,11025,1851,12876,10197,23073,3233,2749,2158,27980,0.0
19,2020-03-17T17:00:00,12894,2060,14954,11108,26062,3526,2941,2503,31506,0.0
20,2020-03-18T17:00:00,14363,2257,16620,12090,28710,4207,4025,2978,35713,0.0
21,2020-03-19T17:00:00,15757,2498,18255,14935,33190,5322,4440,3405,41035,0.0
22,2020-03-20T17:00:00,16020,2655,18675,19185,37860,5986,5129,4032,47021,0.0
23,2020-03-21T17:00:00,17708,2857,20565,22116,42681,6557,6072,4825,53578,0.0
24,2020-03-22T17:00:00,19846,3009,22855,23783,46638,5560,7024,5476,59138,0.0
25,2020-03-23T17:00:00,20692,3204,23896,26522,50418,4789,7432,6077,63927,0.0
26,2020-03-24T17:00:00,21937,3396,25333,28697,54030,5249,8326,6820,69176,0.0
27,2020-03-25T17:00:00,23112,3489,26601,30920,57521,5210,9362,7503,74386,0.0
28,2020-03-26T17:00:00,24753,3612,28365,33648,62013,6153,10361,8165,80539,0.0
29,2020-03-27T17:00:00,26029,3732,29761,36653,66414,5959,10950,9134,86498,0.0
30,2020-03-28T17:00:00,26676,3856,30532,39533,70065,5974,12384,10023,92472,0.0
31,2020-03-29T17:00:00,27386,3906,31292,42588,73880,5217,13030,10779,97689,0.0
32,2020-03-30T17:00:00,27795,3981,31776,43752,75528,4050,14620,11591,101739,0.0
33,2020-03-31T17:00:00,28192,4023,32215,45420,77635,4053,15729,12428,105792,0.0
34,2020-04-01T17:00:00,28403,4035,32438,48134,80572,4782,16847,13155,110574,0.0
35,2020-04-02T17:00:00,28540,4053,32593,50456,83049,4668,18278,13915,115242,0.0
36,2020-04-03T17:00:00,28741,4068,32809,52579,85388,4585,19758,14681,119827,0.0
37,2020-04-04T17:00:00,29010,3994,33004,55270,88274,4805,20996,15362,124632,0.0
38,2020-04-05T17:00:00,28949,3977,32926,58320,91246,4316,21815,15887,128948,0.0
39,2020-04-06T17:00:00,28976,3898,32874,60313,93187,3599,22837,16523,132547,0.0
40,2020-04-07T17:00:00,28718,3792,32510,61557,94067,3039,24392,17127,135586,0.0
41,2020-04-08T17:00:00,28485,3693,32178,63084,95262,3836,26491,17669,139422,0.0
42,2020-04-09T17:00:00,28399,3605,32004,64873,96877,4204,28470,18279,143626,0.0
43,2020-04-10T17:00:00,28242,3497,31739,66534,98273,3951,30455,18849,147577,0.0
44,2020-04-11T17:00:00,28144,3381,31525,68744,100269,4694,32534,19468,152271,0.0
45,2020-04-12T17:00:00,27847,3343,31190,71063,102253,4092,34211,19899,156363,0.0
46,2020-04-13T17:00:00,28023,3260,31283,72333,103616,3153,35435,20465,159516,0.0
47,2020-04-14T17:00:00,28011,3186,31197,73094,104291,2972,37130,21067,162488,0.0
48,2020-04-15T17:00:00,27643,3079,30722,74696,105418,2667,38092,21645,165155,0.0
49,2020-04-16T17:00:00,26893,2936,29829,76778,106607,3786,40164,22170,168941,0.0
50,2020-04-17T17:00:00,25786,2812,28598,78364,106962,3493,42727,22745,172434,0.0
51,2020-04-18T17:00:00,25007,2733,27740,80031,107771,3491,44927,23227,175925,0.0
52,2020-04-19T17:00:00,25033,2635,27668,80589,108257,3047,47055,23660,178972,935310.0
53,2020-04-20T17:00:00,24906,2573,27479,80758,108237,2256,48877,24114,181228,943151.0
54,2020-04-21T17:00:00,24134,2471,26605,81104,107709,2729,51600,24648,183957,971246.0
55,2020-04-22T17:00:00,23805,2384,26189,81510,107699,3370,54543,25085,187327,1015494.0
56,2020-04-23T17:00:00,22871,2267,25138,81710,106848,2646,57576,25549,189973,1052577.0
57,2020-04-24T17:00:00,22068,2173,24241,82286,106527,3021,60498,25969,192994,1147850.0
58,2020-04-25T17:00:00,21533,2102,23635,82212,105847,2357,63120,26384,195351,1186526.0
59,2020-04-26T17:00:00,21372,2009,23381,82722,106103,2324,64928,26644,197675,1210639.0
60,2020-04-27T17:00:00,20353,1956,22309,83504,105813,1739,66624,26977,199414,1237317.0
61,2020-04-28T17:00:00,19723,1863,21586,83619,105205,2091,68941,27359,201505,1274871.0
62,2020-04-29T17:00:00,19210,1795,21005,83652,104657,2086,71252,27682,203591,1313460.0
63,2020-04-30T17:00:00,18149,1694,19843,81708,101551,1872,75945,27967,205463,1354901.0
64,2020-05-01T17:00:00,17569,1578,19147,81796,100943,1965,78249,28236,207428,1398633.0
65,2020-05-02T17:00:00,17357,1539,18896,81808,100704,1900,79914,28710,209328,1429864.0
66,2020-05-03T17:00:00,17242,1501,18743,81436,100179,1389,81654,28884,210717,1456911.0
67,2020-05-04T17:00:00,16823,1479,18302,81678,99980,1221,82879,29079,211938,1479910.0
68,2020-05-05T17:00:00,16270,1427,17697,80770,98467,1075,85231,29315,213013,1512121.0
69,2020-05-06T17:00:00,15769,1333,17102,74426,91528,1444,93245,29684,214457,1549892.0
70,2020-05-07T17:00:00,15174,1311,16485,73139,89624,1401,96276,29958,215858,1563557.0
71,2020-05-08T17:00:00,14636,1168,15804,72157,87961,1327,99023,30201,217185,1608985.0
72,2020-05-09T17:00:00,13834,1034,14868,69974,84842,1083,103031,30395,218268,1645076.0
73,2020-05-10T17:00:00,13618,1027,14645,68679,83324,802,105186,30560,219070,1676460.0
74,2020-05-11T17:00:00,13539,999,14538,67950,82488,744,106587,30739,219814,1702283.0
75,2020-05-12T17:00:00,12865,952,13817,67449,81266,1402,109039,30911,221216,1741903.0
76,2020-05-13T17:00:00,12172,893,13065,65392,78457,888,112541,31106,222104,1778952.0
77,2020-05-14T17:00:00,11453,855,12308,64132,76440,992,115288,31368,223096,1820083.0
78,2020-05-15T17:00:00,10792,808,11600,60470,72070,789,120205,31610,223885,1859110.0
79,2020-05-16T17:00:00,10400,775,11175,59012,70187,875,122810,31763,224760,1899767.0
80,2020-05-17T17:00:00,10311,762,11073,57278,68351,675,125176,31908,225435,1933272.0
81,2020-05-18T17:00:00,10207,749,10956,55597,66553,451,127326,32007,225886,1959373.0
82,2020-05-19T17:00:00,9991,716,10707,54422,65129,813,129401,32169,226699,1999599.0
83,2020-05-20T17:00:00,9624,676,10300,52452,62752,665,132282,32330,227364,2038216.0
84,2020-05-21T17:00:00,9269,640,9909,51051,60960,642,134560,32486,228006,2078860.0
85,2020-05-22T17:00:00,8957,595,9552,49770,59322,652,136720,32616,228658,2121847.0
86,2020-05-23T17:00:00,8695,572,9267,48485,57752,669,138840,32735,229327,2164426.0
87,2020-05-24T17:00:00,8613,553,9166,47428,56594,531,140479,32785,229858,2198632.0
88,2020-05-25T17:00:00,8185,541,8726,46574,55300,300,141981,32877,230158,2219308.0
89,2020-05-26T17:00:00,7917,521,8438,44504,52942,397,144658,32955,230555,2253252.0
90,2020-05-27T17:00:00,7729,505,8234,42732,50966,584,147101,33072,231139,2290551.0
91,2020-05-28T17:00:00,7379,489,7868,40118,47986,593,150604,33142,231732,2330389.0
92,2020-05-29T17:00:00,7094,475,7569,38606,46175,516,152844,33229,232248,2368622.0
93,2020-05-30T17:00:00,6680,450,7130,36561,43691,416,155633,33340,232664,2404673.0
94,2020-05-31T17:00:00,6387,435,6822,35275,42097,355,157507,33415,233019,2433621.0
95,2020-06-01T17:00:00,6099,424,6523,34844,41367,178,158355,33475,233197,2451674.0
96,2020-06-02T17:00:00,5916,408,6324,33569,39893,318,160092,33530,233515,2477302.0
97,2020-06-03T17:00:00,5742,353,6095,33202,39297,321,160938,33601,233836,2497337.0
98,2020-06-04T17:00:00,5503,338,5841,32588,38429,177,161895,33689,234013,2524788.0
99,2020-06-05T17:00:00,5301,316,5617,31359,36976,518,163781,33774,234531,2565258.0
100,2020-06-06T17:00:00,5002,293,5295,30582,35877,270,165078,33846,234801,2599294.0
101,2020-06-07T17:00:00,4864,287,5151,30111,35262,197,165837,33899,234998,2627188.0
102,2020-06-08T17:00:00,4729,283,5012,29718,34730,280,166584,33964,235278,2643489.0
103,2020-06-09T17:00:00,4581,263,4844,28028,32872,283,168646,34043,235561,2675689.0
104,2020-06-10T17:00:00,4320,249,4569,27141,31710,202,169939,34114,235763,2713554.0
105,2020-06-11T17:00:00,4131,236,4367,26270,30637,379,171338,34167,236142,2746545.0
106,2020-06-12T17:00:00,3893,227,4120,24877,28997,163,173085,34223,236305,2784196.0
107,2020-06-13T17:00:00,3747,220,3967,23518,27485,346,174865,34301,236651,2817076.0
108,2020-06-14T17:00:00,3594,209,3803,22471,26274,338,176370,34345,236989,2846621.0
109,2020-06-15T17:00:00,3489,207,3696,22213,25909,303,177010,34371,237290,2864084.0
110,2020-06-16T17:00:00,3301,177,3478,21091,24569,210,178526,34405,237500,2891846.0
111,2020-06-17T17:00:00,3113,163,3276,20649,23925,329,179455,34448,237828,2925803.0
